entity,relevance,relevance_score,ratings_relevant,ratings_total,type
10-foldcross validation,irrelevant,0.33,1,3,selected
4.7million events,relevant,0.8,4,5,selected
abc news,relevant,0.67,2,3,selected
acyclic subgraph,irrelevant,0.0,0,5,generated
admin,irrelevant,0.0,0,6,generated
akaike information criterion,neutral,0.0,0,1,selected
algorithm,irrelevant,0.0,0,2,selected
algorithm proceeds,irrelevant,0.0,0,4,generated
alignment tem-plate approach,irrelevant,0.0,0,4,selected
allfacebook,relevant,1.0,4,4,selected
although,irrelevant,0.0,0,21,generated
and,irrelevant,0.0,0,7,generated
anyone,irrelevant,0.0,0,5,generated
articlestuple,irrelevant,0.0,0,3,generated
author elements,irrelevant,0.33,1,3,generated
author simply,irrelevant,0.0,0,3,generated
bagging,irrelevant,0.0,0,4,selected
balancedet,irrelevant,0.0,0,3,selected
bandit algorithm π,irrelevant,0.0,0,4,selected
barrapunto,relevant,1.0,2,2,generated
bayes decision,irrelevant,0.0,0,5,generated
bayes’ decision rule,irrelevant,0.0,0,2,selected
bbc news,relevant,0.67,2,3,selected
being evaluated,irrelevant,0.0,0,5,generated
bilinear lo-gistic regression mode,irrelevant,0.2,1,5,selected
binary classification,irrelevant,0.0,0,3,selected
blogmaver-ick,relevant,1.0,3,3,selected
bloomberg,relevant,0.67,2,3,selected
bugzilla,relevant,0.83,5,6,generated
buneman,irrelevant,0.0,0,3,generated
christian science monitor,relevant,0.67,2,3,selected
classification,irrelevant,0.22,2,9,selected
close together,irrelevant,0.0,0,3,generated
codd,irrelevant,0.0,0,2,generated
collaborative filtering,irrelevant,0.0,0,3,selected
combined complexity,irrelevant,0.0,0,3,generated
combining probdt,irrelevant,0.0,0,5,generated
common labels,irrelevant,0.0,0,3,generated
common principles,irrelevant,0.0,0,6,generated
comparable results,irrelevant,0.0,0,6,generated
compare different,irrelevant,0.0,0,6,generated
compared algorithms,irrelevant,0.2,1,5,generated
comparing solutions,irrelevant,0.0,0,4,generated
comparison results,irrelevant,0.0,0,5,generated
competing algorithms,irrelevant,0.17,1,6,generated
complexity results,irrelevant,0.0,0,3,generated
computed separately,irrelevant,0.0,0,6,generated
computing sites,irrelevant,0.17,1,6,generated
consuela washington,irrelevant,0.25,1,4,generated
content-based filtering,neutral,0.0,0,1,selected
corporate suffixes,irrelevant,0.25,1,4,generated
correlated interactions,irrelevant,0.25,1,4,generated
cosine distances,irrelevant,0.0,0,3,generated
cspan,relevant,1.0,3,3,selected
ctrs,irrelevant,0.0,0,5,generated
data base,neutral,0.5,1,2,generated
data collection,neutral,0.5,3,6,generated
data mining,irrelevant,0.0,0,3,selected
data set,relevant,0.8,8,10,generated
dataset,relevant,0.83,10,12,generated
datasets,relevant,0.83,5,6,generated
dblp,relevant,1.0,5,5,generated
dbs,irrelevant,0.0,0,3,selected
dbs combining,irrelevant,0.0,0,6,generated
decision rule,irrelevant,0.0,0,5,generated
decision rules,irrelevant,0.0,0,4,generated
decision support,irrelevant,0.0,0,5,generated
decision tree,irrelevant,0.0,0,8,generated
defining relationships,irrelevant,0.0,0,3,generated
described above,irrelevant,0.0,0,8,generated
described below,irrelevant,0.0,0,4,generated
described simply,irrelevant,0.0,0,4,generated
determine whether,irrelevant,0.0,0,3,generated
diagonal elements,neutral,0.0,0,1,generated
different arms,irrelevant,0.0,0,5,generated
different articles,relevant,0.67,2,3,generated
different combination,irrelevant,0.0,0,6,generated
different formulations,irrelevant,0.0,0,5,generated
